Rank,Name,Country,Sales,Profit,Assets,Market Value,C,Class
79,Stellantis,Netherlands,176.61,16.78,195.33,44.26,cluster1,Gi?m
80,Zurich Insurance Group,Switzerland,69.58,5.21,410.15,69.22,cluster1,Gi?m
81,Rosneft,Russia,111.4,11.98,219.41,48.79,cluster1,Gi?m
82,Rio Tinto,United Kingdom,63.46,21.06,102.9,117.78,cluster1,Gi?m
83,Brookfield Asset Management,Canada,78.82,3.97,391,80.94,cluster1,Gi?m
84,Cigna,United States,174.27,5.37,151.02,81.2,cluster1,Gi?m
85,Prudential Financial,United States,70.93,7.61,937.58,43.6,cluster1,Gi?m
86,PepsiCo,United States,79.47,7.62,92.38,238.13,cluster1,T?ng
87,Merck & Co.,United States,50.37,13.05,105.69,213.83,cluster1,Gi?m
88,Anthem,United States,144.35,6.24,100.49,121.25,cluster1,Gi?m
89,Bank of Nova Scotia,Canada,30.35,7.96,979.3,80.58,cluster1,T?ng
90,American International Group,United States,52.06,9.39,521.83,48.73,cluster1,Gi?m
91,Glencore International,Switzerland,203.41,5,127.51,79.9,cluster1,Gi?m
92,Cisco Systems,United States,51.55,11.82,94.26,213.36,cluster1,Gi?m
93,Anheuser-Busch InBev,Belgium,54.33,4.66,219.37,118.52,cluster1,Gi?m
94,Walt Disney,United States,72.98,3.08,203.31,215.33,cluster1,Gi?m
95,Chubb,Switzerland,40.95,8.54,181.75,87.31,cluster1,Gi?m
96,CITIC,Hong Kong,91.21,9.03,"1,370.59",31.96,cluster0,Gi?m
96,Lloyds Banking Group,United Kingdom,58.48,7.36,"1,200.75",41.34,cluster1,Gi?m
98,IBM,United States,67.25,5.52,133.28,124.33,cluster1,T?ng
99,Sanofi,France,44.63,7.36,136.74,136.86,cluster1,Gi?m
100,United Parcel Service,United States,97.2,12.89,69.41,163.03,cluster1,Gi?m
